stringdb::database identifier,Degree,BetweennessCentrality,ClosenessCentrality,Stress,Radiality,NeighborhoodConnectivity,Eccentricity,ClusteringCoefficient,TopologicalCoefficient,Degree_norm,BetweennessCentrality_norm,ClosenessCentrality_norm,Stress_norm,Eccentricity_norm,TopologicalCoefficient_norm,NeighborhoodConnectivity_norm,HubScore,EssentialFlag
9606.ENSP00000364210,38,0.2917036825514998,0.6376811594202899,17356,0.9886363636363636,16.5,2,0.1607396870554765,0.1893526920750151,0.7551020408163265,1.0,0.9603658536585369,1.0,0.0,0.20133703967469962,0.3174603174603174,0.6048950359442686,True
9606.ENSP00000363089,50,0.0967819356878025,0.6518518518518518,5596,0.989318181818182,19.98,3,0.3208163265306122,0.2529113924050633,1.0,0.3317816725564162,1.0,0.32242452177921177,0.5,0.2689184425572825,0.4279365079365079,0.5501515921184883,True
9606.ENSP00000398698,38,0.0255514249381839,0.5866666666666667,2204,0.985909090909091,23.23684210526316,4,0.460881934566145,0.3017771701982228,0.7551020408163265,0.0875937688365413,0.8176829268292685,0.12698778520396403,1.0,0.32087699109684453,0.531328320802005,0.5199388333692785,True
9606.ENSP00000385675,34,0.0183038396035715,0.5714285714285714,1788,0.985,24.205882352941178,4,0.5044563279857398,0.3143621084797555,0.673469387755102,0.06274805804119386,0.7750633512828635,0.103019128831528,1.0,0.3342584444594869,0.5620915032679739,0.5015214105197355,True
9606.ENSP00000362680,30,0.0217613697645138,0.5534591194968553,2308,0.9838636363636364,23.53333333333333,4,0.4597701149425287,0.3096491228070175,0.5918367346938774,0.07460094289578215,0.7248044178554995,0.13297994929707305,1.0,0.32924716855429714,0.5407407407407407,0.4848871362910386,True
9606.ENSP00000275493,30,0.0271138820267971,0.546583850931677,2110,0.9834090909090908,23.466666666666665,4,0.4551724137931034,0.3210045662100456,0.5918367346938774,0.09295008479027408,0.7055749128919864,0.12157179073519243,1.0,0.34132131090688395,0.5386243386243386,0.48455416752036473,False
9606.ENSP00000264832,27,0.0140181291277258,0.5333333333333333,1796,0.9825,26.814814814814813,4,0.5868945868945868,0.3673262303399289,0.5306122448979591,0.04805605813787051,0.6685144124168516,0.10348006453099792,1.0,0.3905747259310637,0.644914756025867,0.4837360374200871,False
9606.ENSP00000346839,28,0.0163649752724972,0.5365853658536586,1662,0.9827272727272728,25.535714285714285,4,0.5343915343915344,0.3498043052837573,0.5510204081632653,0.05610136673405893,0.6776100535395599,0.0957593915648767,1.0,0.37194381827640016,0.6043083900226758,0.47953477547154816,False
9606.ENSP00000260010,38,0.0453593268820004,0.5906040268456376,3626,0.9861363636363636,21.526315789473685,3,0.4025604551920341,0.2795625427204374,0.7551020408163265,0.1554979576714541,0.8286953674905879,0.20891910578474301,0.5,0.29725637453818665,0.47702589807852963,0.4603566777685468,False
9606.ENSP00000496959,28,0.0155924615073076,0.5116279069767442,940,0.980909090909091,24.0,4,0.5052910052910053,0.3582089552238806,0.5510204081632653,0.05345308420833795,0.607806296086217,0.05415994468771606,1.0,0.38088040808615153,0.5555555555555556,0.45755367096960625,False
9606.ENSP00000263341,39,0.0289372337734651,0.6027397260273972,2360,0.9868181818181818,22.82051282051282,3,0.4426450742240216,0.2888672508925674,0.7755102040816325,0.09920078320696647,0.8626378215836954,0.13597603134362757,0.5,0.3071499882908312,0.5181115181115181,0.45694090665975307,False
9606.ENSP00000294728,22,0.0032428217718049,0.5086705202312138,370,0.980681818181818,27.227272727272727,4,0.683982683982684,0.3889610389610389,0.4285714285714285,0.011116835219357867,0.5995347525729593,0.021318276100483983,1.0,0.41357882623705405,0.6580086580086579,0.4474469681014202,False
9606.ENSP00000361405,23,0.0064297635639909,0.5176470588235293,524,0.9813636363636364,25.869565217391305,4,0.5889328063241107,0.3592995169082125,0.44897959183673464,0.022042106248884037,0.6246413199426111,0.030191288315280018,1.0,0.38203999266189687,0.6149068322981366,0.44611444732907757,False
9606.ENSP00000356946,19,0.0012258503077296,0.4756756756756757,138,0.9779545454545456,28.57894736842105,4,0.7134502923976608,0.4536340852130325,0.36734693877551017,0.004202382009740923,0.5072511535926172,0.007951140815856187,1.0,0.4823451032644903,0.7009189640768587,0.4385736689335819,False
9606.ENSP00000263339,20,0.0084495765795672,0.4971751412429379,492,0.9797727272727274,26.55,4,0.6631578947368421,0.3955223880597014,0.38775510204081626,0.028966300684515497,0.5673832162050436,0.028347545517400322,1.0,0.4205554505951256,0.6365079365079365,0.4385022216501197,False
9606.ENSP00000226574,30,0.032724280549542,0.5789473684210527,2554,0.9854545454545456,24.166666666666668,3,0.4666666666666667,0.2947154471544715,0.5918367346938774,0.11218329595055619,0.7960927471116819,0.1471537220557732,0.5,0.3133683235566533,0.5608465608465609,0.4316401977450147,False
9606.ENSP00000263686,16,0.0006318047106719,0.4705882352941176,76,0.9775,28.875,4,0.7583333333333333,0.4657258064516129,0.3061224489795918,0.002165912699989161,0.49302204251989035,0.004378889144964277,1.0,0.49520212331563906,0.7103174603174602,0.43017269671107644,False
9606.ENSP00000361359,19,0.0015091518923757,0.4731182795698924,142,0.9777272727272728,27.0,4,0.7017543859649122,0.4354838709677419,0.36734693877551017,0.005173578472425564,0.500098347757671,0.00818160866559115,1.0,0.463046141282156,0.6507936507936507,0.4278057522495721,False
9606.ENSP00000256078,28,0.0702909871748211,0.5605095541401274,6216,0.984318181818182,17.678571428571427,3,0.3439153439153439,0.2237793851717902,0.5510204081632653,0.2409670887936471,0.7445238465123507,0.3581470384881309,0.5,0.23794263739785287,0.354875283446712,0.4267823289717084,False
9606.ENSP00000364898,20,0.0071696596508603,0.49438202247191,834,0.9795454545454544,24.55,4,0.5421052631578948,0.3557971014492753,0.38775510204081626,0.024578570925632755,0.5595711153740748,0.04805254666973957,1.0,0.37831590533847,0.573015873015873,0.4244698733378009,False
9606.ENSP00000433642,17,0.0019684216281901,0.4680851063829787,156,0.9772727272727272,26.88235294117647,4,0.6617647058823529,0.4335863377609108,0.32653061224489793,0.00674801775203019,0.48602101712506496,0.008988246139663517,1.0,0.4610285110369179,0.6470588235294117,0.419482175403998,False
9606.ENSP00000354932,16,0.0012544095524681,0.4631578947368421,106,0.976818181818182,27.1875,4,0.6916666666666667,0.4456967213114754,0.3061224489795918,0.004300286994994094,0.47224005134788194,0.006107398017976492,1.0,0.4739053745590372,0.6567460317460316,0.41706022737793047,False
9606.ENSP00000428924,20,0.0078107420067704,0.4861878453038674,954,0.9788636363636364,23.05,4,0.5263157894736842,0.3492424242424242,0.38775510204081626,0.026776288658582247,0.53665274221803,0.05496658216178843,1.0,0.3713463751438435,0.5253968253968253,0.4146991308028408,False
9606.ENSP00000355361,9,0.0001974986816372,0.4512820512820513,24,0.975681818181818,30.88888888888889,4,0.6666666666666666,0.4902998236331569,0.16326530612244897,0.0006770524112335535,0.4390243902439026,0.0013828070984097719,1.0,0.5213314580403188,0.7742504409171076,0.41427592211906017,False
9606.ENSP00000252486,18,0.0042741776216854,0.4731182795698924,478,0.9777272727272728,24.05555555555556,4,0.5816993464052288,0.3943533697632058,0.346938775510204,0.014652463706661642,0.500098347757671,0.027540908043327955,1.0,0.41931244379885174,0.5573192239858908,0.4094088804003725,False
9606.ENSP00000286364,3,0.0,0.3636363636363636,0,0.965,26.33333333333333,4,1.0,0.9404761904761904,0.04081632653061225,0.0,0.19388732110461593,0.0,1.0,1.0,0.6296296296296295,0.40919046818069393,False
9606.ENSP00000262940,3,0.0,0.3636363636363636,0,0.965,26.33333333333333,4,1.0,0.9404761904761904,0.04081632653061225,0.0,0.19388732110461593,0.0,1.0,1.0,0.6296296296296295,0.40919046818069393,False
9606.ENSP00000377075,3,0.0,0.3636363636363636,0,0.965,26.33333333333333,4,1.0,0.9404761904761904,0.04081632653061225,0.0,0.19388732110461593,0.0,1.0,1.0,0.6296296296296295,0.40919046818069393,False
9606.ENSP00000303192,3,0.0,0.3636363636363636,0,0.965,26.33333333333333,4,1.0,0.9404761904761904,0.04081632653061225,0.0,0.19388732110461593,0.0,1.0,1.0,0.6296296296296295,0.40919046818069393,False
9606.ENSP00000420211,3,0.0,0.3636363636363636,0,0.965,26.33333333333333,4,1.0,0.9404761904761904,0.04081632653061225,0.0,0.19388732110461593,0.0,1.0,1.0,0.6296296296296295,0.40919046818069393,False
