stringdb::database identifier,Degree,BetweennessCentrality,ClosenessCentrality,Stress,Radiality,NeighborhoodConnectivity,Eccentricity,ClusteringCoefficient,TopologicalCoefficient,Degree_norm,BetweennessCentrality_norm,ClosenessCentrality_norm,Stress_norm,Eccentricity_norm,TopologicalCoefficient_norm,NeighborhoodConnectivity_norm,HubScore,EssentialFlag
9606.ENSP00000364210,50,0.2330300619631001,1.0,1566,1.0,18.68,1,0.3608163265306122,0.3736,1.0,1.0,1.0,1.0,0.0,0.10723404255319147,0.10723404255319147,0.6020668693009118,True
9606.ENSP00000398698,40,0.0423555618600286,0.8333333333333334,776,0.996,22.0,2,0.5025641025641026,0.44,0.7872340425531915,0.18176007637476202,0.6560283687943262,0.49553001277139214,1.0,0.3191489361702129,0.3191489361702129,0.5369786246905853,True
9606.ENSP00000385675,40,0.0439007513644018,0.8333333333333334,780,0.996,21.875,2,0.5,0.4375,0.7872340425531915,0.18839093546374033,0.6560283687943262,0.4980842911877395,1.0,0.31117021276595747,0.31117021276595747,0.5360111519329875,True
9606.ENSP00000263341,38,0.033751680480637,0.8064516129032259,658,0.9952,22.473684210526315,2,0.5320056899004267,0.4494736842105263,0.7446808510638298,0.14483831054373372,0.6005490734385726,0.42017879948914433,1.0,0.3493840985442329,0.3493840985442329,0.5155736045176781,False
9606.ENSP00000295897,37,0.0347737050022701,0.7936507936507936,644,0.9948,22.2972972972973,2,0.5165165165165165,0.4459459459459459,0.723404255319149,0.1492241160188871,0.5741303613644038,0.4112388250319285,1.0,0.3381253594019551,0.3381253594019553,0.5048926109340398,False
9606.ENSP00000363089,36,0.0252826755626525,0.78125,540,0.9944,23.30555555555556,2,0.5714285714285714,0.4661111111111111,0.7021276595744681,0.10849533896899519,0.5485372340425532,0.3448275862068966,1.0,0.40248226950354615,0.4024822695035466,0.5012789082571437,False
9606.ENSP00000216336,12,8.651286601597161e-05,0.5681818181818182,4,0.9848,32.583333333333336,2,0.9696969696969696,0.6516666666666666,0.19148936170212766,0.00037125195473565454,0.10880077369439056,0.002554278416347382,1.0,0.9946808510638299,0.9946808510638303,0.4703681954136088,False
9606.ENSP00000260010,30,0.0204663569606196,0.7142857142857143,310,0.992,24.6,2,0.6436781609195402,0.492,0.574468085106383,0.08782711032304669,0.41033434650455924,0.19795657726692212,1.0,0.48510638297872344,0.48510638297872366,0.4629712693083369,False
9606.ENSP00000345347,29,0.0091635589358591,0.7042253521126761,244,0.9916,25.517241379310345,2,0.6995073891625616,0.5103448275862069,0.5531914893617021,0.039323505554017896,0.3895714713814804,0.1558109833971903,1.0,0.5436537050623627,0.5436537050623627,0.4607435514027309,False
9606.ENSP00000226574,30,0.0141333974031703,0.7142857142857143,296,0.992,24.73333333333333,2,0.6597701149425287,0.4946666666666666,0.574468085106383,0.060650532742888334,0.41033434650455924,0.18901660280970628,1.0,0.49361702127659557,0.49361702127659557,0.46024337281667543,False
9606.ENSP00000263025,30,0.0155938145370568,0.7142857142857143,316,0.992,24.466666666666665,2,0.6367816091954023,0.4893333333333333,0.574468085106383,0.06691760885136808,0.41033434650455924,0.20178799489144317,1.0,0.4765957446808511,0.4765957446808511,0.45809993210220795,False
9606.ENSP00000353874,18,0.0003915868711787,0.6097560975609756,16,0.9872,30.11111111111111,2,0.9477124183006536,0.6022222222222222,0.3191489361702128,0.001680413539265621,0.19460300985988566,0.010217113665389528,1.0,0.8368794326241136,0.8368794326241136,0.45705833406899726,False
9606.ENSP00000263317,13,0.0003949112112377,0.5747126436781609,12,0.9852,31.307692307692307,2,0.9230769230769232,0.6261538461538462,0.21276595744680854,0.0016946792525860182,0.12227928588897008,0.007662835249042146,1.0,0.9132569558101475,0.9132569558101473,0.4529880956368145,False
9606.ENSP00000362057,13,0.0005116829340431,0.5747126436781609,14,0.9852,31.23076923076923,2,0.9102564102564102,0.6246153846153846,0.21276595744680854,0.0021957807921113804,0.12227928588897008,0.008939974457215838,1.0,0.9083469721767594,0.9083469721767594,0.4518392775626606,False
9606.ENSP00000264896,22,0.0026482600915023,0.641025641025641,90,0.9888,28.181818181818183,2,0.8051948051948052,0.5636363636363636,0.4042553191489362,0.011364456882484318,0.25913802509547157,0.0574712643678161,1.0,0.7137330754352031,0.7137330754352034,0.45138503090930204,False
9606.ENSP00000415743,25,0.0060362745713535,0.6666666666666666,164,0.99,26.72,2,0.7266666666666667,0.5344,0.46808510638297873,0.02590341572457434,0.31205673758865227,0.10472541507024266,1.0,0.6204255319148937,0.6204255319148937,0.4502316769423193,False
9606.ENSP00000302961,23,0.0045545897346617,0.6493506493506493,114,0.9892,27.60869565217392,2,0.7747035573122529,0.5521739130434783,0.425531914893617,0.01954507369689886,0.2763194252555954,0.07279693486590039,1.0,0.6771507863089734,0.6771507863089739,0.44978498876142264,False
